AXIOM TYPE,AXIOM,NATURAL LANGUAGE TRANSLATION
SubClassOf,HPVCO_00000009 ⊑ ∃ HPVCO_00000056.HPVCO_00000019,every smoking is a type of something whose causally related to is a vulvar cancer
SubClassOf,HPVCO_00000019 ⊑ ∃ HPVCO_00000197.HPVCO_00000045,every vulvar cancer is a type of something that cans potentially be prevented by a safe sexual behavior
SubClassOf,HPVCO_00000102 ⊑ ∃ HPVCO_00000101.HPVCO_00000019,every chemotherapy is a type of something whose treat is a vulvar cancer
SubClassOf,HPVCO_00000155 ⊑ HPVCO_00000144,every itching of vulva is a type of a vaginal and vulvar symptom
SubClassOf,HPVCO_00000017 ⊑ ∃ HPVCO_00000197.HPVCO_00000049,every anal cancer is a type of something that cans potentially be prevented by a hpv vaccine uptake
SubClassOf,HPVCO_00000018 ⊑ ∃ HPVCO_00000197.HPVCO_00000125,every vaginal cancer is a type of something that cans potentially be prevented by a pelvic exam
SubClassOf,HPVCO_00000004 ⊑ HPVCO_00000032,every cervix is a type of an anatomical site
SubClassOf,HPVCO_00000018 ⊑ ∃ HPVCO_00000111.HPVCO_00000125,every vaginal cancer is a type of something that is diagnosed by a pelvic exam
SubClassOf,HPVCO_00000019 ⊑ ∃ HPVCO_00000175.HPVCO_00000156,every vulvar cancer is a type of something that has symptom a tenderness in vulva area
SubClassOf,HPVCO_00000021 ⊑ HPVCO_00000005,every drug abuse is a type of a destructive behavior
SubClassOf,HPVCO_00000016 ⊑ ∃ HPVCO_00000111.HPVCO_00000124,every penile cancer is a type of something that is diagnosed by an ultrasound scan
SubClassOf,HPVCO_00000100 ⊑ ∃ HPVCO_00000056.HPVCO_00000019,every human immunodeficiency virus (hiv) infection is a type of something whose causally related to is a vulvar cancer
SubClassOf,HPVCO_00000149 ⊑ HPVCO_00000126,every penile symptom is a type of a symptom
SubClassOf,HPVCO_00000025 ⊑ HPVCO_00000061,every hpv related anxiety is a type of a social impact of hpv
SubClassOf,HPVCO_00000022 ⊑ HPVCO_00000006,every seeking social support is a type of a constructive behavior
SubClassOf,HPVCO_00000018 ⊑ ∃ HPVCO_00000175.HPVCO_00000152,every vaginal cancer is a type of something that has symptom a vaginal bleeding
SubClassOf,HPVCO_00000128 ⊑ HPVCO_00000127,every vaginal intraepithelial neoplasia (vain)atypical cells in the vagi is a type of a precancerous conditions of the vulva or vagi
SubClassOf,HPVCO_00000081 ⊑ HPVCO_00000079,every seeking regular hpv testing/screening is a type of an adapting to a lifestyle with hpv
SubClassOf,HPVCO_00000099 ⊑ HPVCO_00000098,every cancer treatment is a type of a cancer management strategy
SubClassOf,HPVCO_00000043 ⊑ HPVCO_00000034,every damaged skin is a type of a hpv risk factor
SubClassOf,HPVCO_00000105 ⊑ ∃ HPVCO_00000101.HPVCO_00000019,every targeted drug therapy is a type of something whose treat is a vulvar cancer
SubClassOf,HPVCO_00000020 ⊑ ∃ HPVCO_00000197.HPVCO_00000140,every throat cancer is a type of something that cans potentially be prevented by a maintaining a healthy diet
SubClassOf,HPVCO_00000103 ⊑ ∃ HPVCO_00000101.HPVCO_00000015,every radiation is a type of something whose treat is a cervical cancer
SubClassOf,HPVCO_00000019 ⊑ ∃ HPVCO_00000111.HPVCO_00000119,every vulvar cancer is a type of something that is diagnosed by a mri scan
SubClassOf,HPVCO_00000102 ⊑ ∃ HPVCO_00000101.HPVCO_00000018,every chemotherapy is a type of something whose treat is a vaginal cancer
SubClassOf,HPVCO_00000020 ⊑ ∃ HPVCO_00000175.HPVCO_00000162,every throat cancer is a type of something that has symptom a lumps in throat
SubClassOf,HPVCO_00000141 ⊑ HPVCO_00000145,every pelvic pain is a type of a pelvic and anal symptom
SubClassOf,HPVCO_00000054 ⊑ HPVCO_00000062,every feelings of unattractiveness is a type of a sexual and relationship impact of hpv
SubClassOf,HPVCO_00000011 ⊑ HPVCO_00000097,every alcoholism is a type of a cancer risk factor
SubClassOf,HPVCO_00000018 ⊑ HPVCO_00000014,every vaginal cancer is a type of a cancer
SubClassOf,HPVCO_00000072 ⊑ HPVCO_00000070,every anti-vaccine conspiracy theory is a type of a social norm
SubClassOf,HPVCO_00000122 ⊑ HPVCO_00000113,every pet-ct scan is a type of a cancer diagnostic test
SubClassOf,HPVCO_00000153 ⊑ HPVCO_00000152,every unusual vaginal bleeding is a type of a vaginal bleeding
SubClassOf,HPVCO_00000017 ⊑ ∃ HPVCO_00000111.HPVCO_00000194,every anal cancer is a type of something that is diagnosed by an anoscopy
SubClassOf,HPVCO_00000018 ⊑ ∃ HPVCO_00000197.HPVCO_00000138,every vaginal cancer is a type of something that cans potentially be prevented by a reduced tobacco usage
SubClassOf,HPVCO_00000112 ⊑ ∃ HPVCO_00000056.HPVCO_00000018,every becoming sexually active at a young age is a type of something whose causally related to is a vaginal cancer
SubClassOf,HPVCO_00000009 ⊑ HPVCO_00000005,every smoking is a type of a destructive behavior
SubClassOf,HPVCO_00000129 ⊑ ∃ HPVCO_00000147.HPVCO_00000012,every vulvar intraepithelial neoplasia (vin)precancerous conditions of the vulva is a type of something whose disease has location is a vulva
SubClassOf,HPVCO_00000041 ⊑ ∃ HPVCO_00000085.HPVCO_00000097,every cancer risk reduction strategy is a type of something whose potentially negatively regulate is a cancer risk factor
SubClassOf,HPVCO_00000034 ⊑ HPVCO_00000033,every hpv risk factor is a type of a risk factor
SubClassOf,HPVCO_00000015 ⊑ ∀ HPVCO_00000147.HPVCO_00000004,every cervical cancer is a type of something whose disease has location is a cervix
SubClassOf,HPVCO_00000019 ⊑ ∃ HPVCO_00000111.HPVCO_00000123,every vulvar cancer is a type of something that is diagnosed by a ct scan
SubClassOf,HPVCO_00000136 ⊑ HPVCO_00000134,every self-examination is a type of a health monitoring
SubClassOf,HPVCO_00000020 ⊑ ∃ HPVCO_00000175.HPVCO_00000161,every throat cancer is a type of something that has symptom a trouble swallowing
SubClassOf,HPVCO_00000018 ⊑ ∀ HPVCO_00000147.HPVCO_00000010,every vaginal cancer is a type of something whose disease has location is a vagi
SubClassOf,HPVCO_00000107 ⊑ HPVCO_00000099,every penectomy is a type of a cancer treatment
SubClassOf,HPVCO_00000134 ⊑ ∃ BFO_0000050.HPVCO_00000098,every health monitoring is a type of something whose part of is a cancer management strategy
SubClassOf,HPVCO_00000015 ⊑ ∃ HPVCO_00000197.HPVCO_00000136,every cervical cancer is a type of something that cans potentially be prevented by a self-examination
SubClassOf,HPVCO_00000015 ⊑ ∃ HPVCO_00000111.HPVCO_00000114,every cervical cancer is a type of something that is diagnosed by a pap test
SubClassOf,HPVCO_00000071 ⊑ HPVCO_00000070,every sexual taboo is a type of a social norm
SubClassOf,HPVCO_00000115 ⊑ HPVCO_00000113,every endocervical curettage is a type of a cancer diagnostic test
SubClassOf,HPVCO_00000078 ⊑ ∃ HPVCO_00000056.HPVCO_00000069,every side effects of hpv vaccine is a type of something whose causally related to is a negative hpv related social norm
SubClassOf,HPVCO_00000020 ⊑ ∃ HPVCO_00000197.HPVCO_00000137,every throat cancer is a type of something that cans potentially be prevented by a reduced alcohol consumption
SubClassOf,HPVCO_00000034 ⊑ ∃ HPVCO_00000056.HPVCO_00000001,every hpv risk factor is a type of something whose causally related to is a hpv infection
SubClassOf,HPVCO_00000190 ⊑ ∃ HPVCO_00000180.HPVCO_00000098,every cancer management stakeholder is a type of something whose support is a cancer management strategy
SubClassOf,HPVCO_00000174 ⊑ HPVCO_00000097,every advanced age is a type of a cancer risk factor
SubClassOf,HPVCO_00000017 ⊑ ∃ HPVCO_00000111.HPVCO_00000193,every anal cancer is a type of something that is diagnosed by an anal pap test
SubClassOf,HPVCO_00000187 ⊑ HPVCO_00000191,every friend is a type of a hpv infection management stakeholder
SubClassOf,HPVCO_00000016 ⊑ ∃ HPVCO_00000111.HPVCO_00000122,every penile cancer is a type of something that is diagnosed by a pet-ct scan
SubClassOf,HPVCO_00000109 ⊑ HPVCO_00000099,every cryotherapy is a type of a cancer treatment
SubClassOf,HPVCO_00000071 ⊑ ∃ HPVCO_00000056.HPVCO_00000069,every sexual taboo is a type of something whose causally related to is a negative hpv related social norm
SubClassOf,HPVCO_00000116 ⊑ HPVCO_00000113,every colposcopic biopsy is a type of a cancer diagnostic test
SubClassOf,HPVCO_00000112 ⊑ HPVCO_00000040,every becoming sexually active at a young age is a type of a high risk sexual behavior
SubClassOf,HPVCO_00000096 ⊑ HPVCO_00000091,every cancer related stigma is a type of a social impact of cancer
SubClassOf,HPVCO_00000134 ⊑ ∃ BFO_0000050.HPVCO_00000044,every health monitoring is a type of something whose part of is a hpv infection management stratergy
SubClassOf,HPVCO_00000169 ⊑ HPVCO_00000150,every constipation is a type of an urination and bowel symptom
SubClassOf,HPVCO_00000002 ⊑ ∃ HPVCO_00000056.HPVCO_00000019,every hpv infection of the anus/genital region is a type of something whose causally related to is a vulvar cancer
SubClassOf,HPVCO_00000019 ⊑ ∃ HPVCO_00000175.HPVCO_00000155,every vulvar cancer is a type of something that has symptom an itching of vulva
SubClassOf,HPVCO_00000017 ⊑ ∃ HPVCO_00000197.HPVCO_00000045,every anal cancer is a type of something that cans potentially be prevented by a safe sexual behavior
SubClassOf,HPVCO_00000041 ⊑ HPVCO_00000098,every cancer risk reduction strategy is a type of a cancer management strategy
SubClassOf,HPVCO_00000060 ⊑ HPVCO_00000059,every financial impact of hpv is a type of a hpv related psychological stress
SubClassOf,HPVCO_00000073 ⊑ HPVCO_00000070,every religious beliefs in vaccine is a type of a social norm
SubClassOf,HPVCO_00000017 ⊑ ∃ HPVCO_00000197.HPVCO_00000138,every anal cancer is a type of something that cans potentially be prevented by a reduced tobacco usage
SubClassOf,HPVCO_00000017 ⊑ ∃ HPVCO_00000175.HPVCO_00000171,every anal cancer is a type of something that has symptom an anal bleeding
SubClassOf,HPVCO_00000124 ⊑ HPVCO_00000113,every ultrasound scan is a type of a cancer diagnostic test
SubClassOf,HPVCO_00000050 ⊑ HPVCO_00000086,every vaccine is a type of a medication
SubClassOf,HPVCO_00000191 ⊑ HPVCO_00000179,every hpv infection management stakeholder is a type of a stakeholder
SubClassOf,HPVCO_00000047 ⊑ HPVCO_00000045,every latex condom usage is a type of a safe sexual behavior
SubClassOf,HPVCO_00000084 ⊑ ∃ HPVCO_00000056.HPVCO_00000019,every lichen sclerosus skin condition is a type of something whose causally related to is a vulvar cancer
SubClassOf,HPVCO_00000148 ⊑ HPVCO_00000126,every general symptom is a type of a symptom
SubClassOf,HPVCO_00000151 ⊑ HPVCO_00000126,every skin condition is a type of a symptom
SubClassOf,HPVCO_00000020 ⊑ ∃ HPVCO_00000111.HPVCO_00000122,every throat cancer is a type of something that is diagnosed by a pet-ct scan
SubClassOf,HPVCO_00000094 ⊑ HPVCO_00000092,every cost of doctor appointment / check-up for cancer is a type of a direct financial impact of cancer
SubClassOf,HPVCO_00000186 ⊑ HPVCO_00000190,every careteaker is a type of a cancer management stakeholder
SubClassOf,HPVCO_00000049 ⊑ HPVCO_00000044,every hpv vaccine uptake is a type of a hpv infection management stratergy
SubClassOf,HPVCO_00000055 ⊑ HPVCO_00000075,every hpv vaccine refusal is a type of an attitude towards hpv vaccine
SubClassOf,HPVCO_00000102 ⊑ ∃ HPVCO_00000101.HPVCO_00000016,every chemotherapy is a type of something whose treat is a penile cancer
SubClassOf,HPVCO_00000164 ⊑ HPVCO_00000146,every coughing up blood is a type of a throat and mouth symptom
SubClassOf,HPVCO_00000018 ⊑ ∃ HPVCO_00000175.HPVCO_00000169,every vaginal cancer is a type of something that has symptom a constipation
SubClassOf,HPVCO_00000040 ⊑ HPVCO_00000097,every high risk sexual behavior is a type of a cancer risk factor
SubClassOf,HPVCO_00000004 ⊑ ∃ BFO_0000050.HPVCO_00000030,every cervix is a type of something whose part of is a human
SubClassOf,HPVCO_00000018 ⊑ ∃ HPVCO_00000111.HPVCO_00000122,every vaginal cancer is a type of something that is diagnosed by a pet-ct scan
SubClassOf,HPVCO_00000138 ⊑ HPVCO_00000041,every reduced tobacco usage is a type of a cancer risk reduction strategy
SubClassOf,HPVCO_00000100 ⊑ ∃ HPVCO_00000056.HPVCO_00000018,every human immunodeficiency virus (hiv) infection is a type of something whose causally related to is a vaginal cancer
SubClassOf,HPVCO_00000097 ⊑ ∃ HPVCO_00000056.HPVCO_00000014,every cancer risk factor is a type of something whose causally related to is a cancer
SubClassOf,HPVCO_00000091 ⊑ HPVCO_00000063,every social impact of cancer is a type of a cancer related psychological stress
SubClassOf,HPVCO_00000020 ⊑ ∃ HPVCO_00000175.HPVCO_00000163,every throat cancer is a type of something that has symptom a trouble with mouth and tongue
SubClassOf,HPVCO_00000018 ⊑ ∃ HPVCO_00000197.HPVCO_00000114,every vaginal cancer is a type of something that cans potentially be prevented by a pap test
SubClassOf,HPVCO_00000016 ⊑ ∃ HPVCO_00000175.HPVCO_00000168,every penile cancer is a type of something that has symptom a lumps on penis
SubClassOf,HPVCO_00000135 ⊑ HPVCO_00000134,every routine medical check-up is a type of a health monitoring
SubClassOf,HPVCO_00000123 ⊑ HPVCO_00000113,every ct scan is a type of a cancer diagnostic test
SubClassOf,HPVCO_00000020 ⊑ ∃ HPVCO_00000111.HPVCO_00000119,every throat cancer is a type of something that is diagnosed by a mri scan
SubClassOf,HPVCO_00000042 ⊑ ∃ HPVCO_00000056.HPVCO_00000017,every weakened immune system is a type of something whose causally related to is an anal cancer
SubClassOf,HPVCO_00000186 ⊑ HPVCO_00000191,every careteaker is a type of a hpv infection management stakeholder
SubClassOf,HPVCO_00000059 ⊑ ∃ HPVCO_00000200.HPVCO_00000000,every hpv related psychological stress is a type of something that regulates by a hpv related coping behavior
SubClassOf,HPVCO_00000182 ⊑ HPVCO_00000191,every co-worker is a type of a hpv infection management stakeholder
SubClassOf,HPVCO_00000031 ⊑ HPVCO_00000029,every human papillomavirus is a type of an organism
SubClassOf,HPVCO_00000020 ⊑ ∃ HPVCO_00000175.HPVCO_00000160,every throat cancer is a type of something that has symptom a sore throat
SubClassOf,HPVCO_00000184 ⊑ HPVCO_00000183,every nutritionist is a type of a healthcare provider
SubClassOf,HPVCO_00000154 ⊑ HPVCO_00000144,every watery vaginal discharge is a type of a vaginal and vulvar symptom
SubClassOf,HPVCO_00000018 ⊑ ∃ HPVCO_00000197.HPVCO_00000049,every vaginal cancer is a type of something that cans potentially be prevented by a hpv vaccine uptake
SubClassOf,HPVCO_00000019 ⊑ ∃ HPVCO_00000197.HPVCO_00000049,every vulvar cancer is a type of something that cans potentially be prevented by a hpv vaccine uptake
SubClassOf,HPVCO_00000142 ⊑ HPVCO_00000148,every ear pain is a type of a general symptom
SubClassOf,HPVCO_00000194 ⊑ HPVCO_00000113,every anoscopy is a type of a cancer diagnostic test
SubClassOf,HPVCO_00000135 ⊑ HPVCO_00000041,every routine medical check-up is a type of a cancer risk reduction strategy
SubClassOf,HPVCO_00000117 ⊑ HPVCO_00000113,every cone biopsy is a type of a cancer diagnostic test
SubClassOf,HPVCO_00000188 ⊑ HPVCO_00000190,every employer is a type of a cancer management stakeholder
SubClassOf,HPVCO_00000001 ⊑ ∃ HPVCO_00000196.HPVCO_00000031,every hpv infection is a type of something that transmits by a human papillomavirus
SubClassOf,HPVCO_00000129 ⊑ HPVCO_00000097,every vulvar intraepithelial neoplasia (vin)precancerous conditions of the vulva is a type of a cancer risk factor
SubClassOf,HPVCO_00000015 ⊑ ∃ HPVCO_00000197.HPVCO_00000135,every cervical cancer is a type of something that cans potentially be prevented by a routine medical check-up
SubClassOf,HPVCO_00000012 ⊑ HPVCO_00000032,every vulva is a type of an anatomical site
SubClassOf,HPVCO_00000084 ⊑ HPVCO_00000097,every lichen sclerosus skin condition is a type of a cancer risk factor
SubClassOf,HPVCO_00000113 ⊑ HPVCO_00000134,every cancer diagnostic test is a type of a health monitoring
SubClassOf,HPVCO_00000171 ⊑ HPVCO_00000145,every anal bleeding is a type of a pelvic and anal symptom
SubClassOf,HPVCO_00000108 ⊑ HPVCO_00000041,every circumcision is a type of a cancer risk reduction strategy
SubClassOf,HPVCO_00000003 ⊑ ∃ HPVCO_00000056.HPVCO_00000020,every hpv infection of the throat is a type of something whose causally related to is a throat cancer
SubClassOf,HPVCO_00000185 ⊑ HPVCO_00000183,every registered dietitian is a type of a healthcare provider
SubClassOf,HPVCO_00000106 ⊑ ∃ HPVCO_00000101.HPVCO_00000017,every immunotherapy is a type of something whose treat is an anal cancer
SubClassOf,HPVCO_00000018 ⊑ ∃ HPVCO_00000175.HPVCO_00000141,every vaginal cancer is a type of something that has symptom a pelvic pain
SubClassOf,HPVCO_00000125 ⊑ HPVCO_00000113,every pelvic exam is a type of a cancer diagnostic test
SubClassOf,HPVCO_00000009 ⊑ HPVCO_00000097,every smoking is a type of a cancer risk factor
SubClassOf,HPVCO_00000167 ⊑ HPVCO_00000149,every foul-smelling discharge under foreskin is a type of a penile symptom
SubClassOf,HPVCO_00000042 ⊑ ∃ HPVCO_00000056.HPVCO_00000016,every weakened immune system is a type of something whose causally related to is a penile cancer
SubClassOf,HPVCO_00000144 ⊑ HPVCO_00000126,every vaginal and vulvar symptom is a type of a symptom
SubClassOf,HPVCO_00000090 ⊑ HPVCO_00000063,every sexual and relationship impact of cancer is a type of a cancer related psychological stress
SubClassOf,HPVCO_00000017 ⊑ ∃ HPVCO_00000175.HPVCO_00000177,every anal cancer is a type of something that has symptom a mass or growth in anu
SubClassOf,HPVCO_00000104 ⊑ ∃ HPVCO_00000101.HPVCO_00000019,every surgery is a type of something whose treat is a vulvar cancer
SubClassOf,HPVCO_00000016 ⊑ ∃ HPVCO_00000197.HPVCO_00000045,every penile cancer is a type of something that cans potentially be prevented by a safe sexual behavior
SubClassOf,HPVCO_00000026 ⊑ HPVCO_00000061,every loss of motivation is a type of a social impact of hpv
SubClassOf,HPVCO_00000018 ⊑ ∃ HPVCO_00000111.HPVCO_00000123,every vaginal cancer is a type of something that is diagnosed by a ct scan
SubClassOf,HPVCO_00000061 ⊑ ∃ HPVCO_00000056.HPVCO_00000053,every social impact of hpv is a type of something whose causally related to is a workforce loss
SubClassOf,HPVCO_00000120 ⊑ HPVCO_00000113,every neurological exam is a type of a cancer diagnostic test
SubClassOf,HPVCO_00000009 ⊑ ∃ HPVCO_00000056.HPVCO_00000016,every smoking is a type of something whose causally related to is a penile cancer
SubClassOf,HPVCO_00000129 ⊑ HPVCO_00000127,every vulvar intraepithelial neoplasia (vin)precancerous conditions of the vulva is a type of a precancerous conditions of the vulva or vagi
SubClassOf,HPVCO_00000020 ⊑ ∃ HPVCO_00000111.HPVCO_00000118,every throat cancer is a type of something that is diagnosed by a physical exam of mouth and neck
SubClassOf,HPVCO_00000102 ⊑ ∃ HPVCO_00000101.HPVCO_00000017,every chemotherapy is a type of something whose treat is an anal cancer
SubClassOf,HPVCO_00000036 ⊑ HPVCO_00000035,every genital wart is a type of a wart
SubClassOf,HPVCO_00000018 ⊑ ∃ HPVCO_00000111.HPVCO_00000119,every vaginal cancer is a type of something that is diagnosed by a mri scan
TransitiveObjectProperty,BFO_0000050 ∈ R⁺,"If thing X parts of thing Y then thing Y parts of thing Z, and so on."
